question,resposta_modelo,resposta_correta,subject
"Which of the following conditions are necessary for a series to be classifiable as a weakly stationary process?

(i) It must have a constant mean

(ii) It must have a constant variance

(iii) It must have constant autocovariances for given lags

(iv) It must have a constant probability distribution",3,2,econometrics
What are the dimensions of $\hat{u}^t \hat{u}?,1,3,econometrics
Philo says the analogy that Cleanthes uses to make his case is _____.,3,1,philosophy
"Consider the OLS estimator for the standard error of the slope coefficient. Which of the following statement(s) is (are) true?

(i) The standard error will be positively related to the residual variance

(ii) The standard error will be negatively related to the dispersion of the observations on the explanatory variable about their mean value

(iii) The standard error will be negatively related to the sample size

(iv) The standard error gives a measure of the precision of the coefficient estimate.",3,3,econometrics
Suppose that the Durbin Watson test is applied to a regression containing two explanatory variables plus a constant with 50 data points. The test statistic takes a value of 1.53. What is the appropriate conclusion?,1,3,econometrics
Which of the following decimal numbers has an exact representation in binary notation?,3,3,college_computer_science
"Which of the following statements are true concerning the autocorrelation function (acf) and partial autocorrelation function (pacf)?

i) The acf and pacf will always be identical at lag one whatever the model

ii) The pacf for an MA(q) model will in general be non-zero beyond lag q

iii) The pacf for an AR(p) model will be zero beyond lag p

iv) The acf and pacf will be the same at lag two for an MA(1) model",3,2,econometrics
"Which of the following is (are) true about virtual memory systems that use pages?
I. The virtual address space can be larger than the amount of physical memory.
II. Programs must be resident in main memory throughout their execution.
III. Pages correspond to semantic characteristics of the program.",3,0,college_computer_science
"Which of the following statements describe(s) properties of a purely segmented memory system?
I. It divides memory into units of equal size.
II. It permits implementation of virtual memory.
III. It suffers from internal fragmentation.",3,1,college_computer_science
Which one of the following would NOT be a consequence of using non-stationary data in levels form?,3,3,econometrics
Which one of the following factors is likely to lead to a relatively high degree of out-of-sample forecast accuracy?,3,0,econometrics
Which of the following instruction-set features is NOT generally considered an obstacle to aggressive pipelining of an integer unit?,3,3,college_computer_science
"Two expressions E and F are said to be unifiable if there are substitutions for the variables of E and F that make the expressions lexically identical. In the following three expressions, only w, x, y, and z are variables.
I. f(w,w)
II. f(x,1)
III. f(y,g(z))
Which pairs of these expressions is (are) pairs of unifiable expressions?",3,3,college_computer_science
